epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,5088.96,1.11509,0.67866,1.16884,0.9908,0.92838,0.97048,0.71894,1.02198,0.55902,1.24274,0.000750872,0.000750872,0.000750872
96,5133.83,1.15149,0.69528,1.1936,0.99547,0.92241,0.97218,0.71278,0.96252,0.52834,1.20779,0.000737584,0.000737584,0.000737584
97,5178.13,1.09733,0.663,1.14538,1,0.92945,0.9729,0.71451,1.01148,0.52894,1.20509,0.000724295,0.000724295,0.000724295
98,5221.97,1.16171,0.67783,1.16879,0.99085,0.93406,0.97309,0.72781,0.97553,0.54195,1.17944,0.000711007,0.000711007,0.000711007
99,5266.62,1.14176,0.72613,1.17657,0.96549,0.96461,0.97315,0.72386,0.95211,0.52799,1.16663,0.000697718,0.000697718,0.000697718
100,5311.43,1.12945,0.68944,1.17722,1,0.91853,0.97192,0.72681,0.89949,0.54578,1.14374,0.00068443,0.00068443,0.00068443
101,5356.09,1.1281,0.69978,1.17558,1,0.92094,0.97145,0.72266,0.8641,0.54756,1.12473,0.000671141,0.000671141,0.000671141
102,5400.19,1.12659,0.69122,1.17209,0.99734,0.92241,0.97278,0.70951,0.8998,0.55897,1.13625,0.000657852,0.000657852,0.000657852
103,5445.45,1.11745,0.67041,1.15759,0.99198,0.92241,0.97343,0.72997,0.88926,0.54169,1.13186,0.000644564,0.000644564,0.000644564
104,5490.01,1.1046,0.67389,1.13917,0.97951,0.94828,0.9743,0.73392,0.89297,0.51588,1.14583,0.000631275,0.000631275,0.000631275
105,5534.88,1.08299,0.68936,1.16901,0.9946,0.93966,0.97443,0.73876,0.88887,0.50023,1.15398,0.000617987,0.000617987,0.000617987
106,5579.78,1.13774,0.67399,1.1603,0.98219,0.9509,0.97362,0.74009,0.94851,0.49867,1.19174,0.000604698,0.000604698,0.000604698
107,5625.1,1.09656,0.66047,1.14665,0.98221,0.95203,0.97277,0.75026,0.93442,0.49669,1.20022,0.000591409,0.000591409,0.000591409
108,5669.73,1.03845,0.6543,1.13395,0.97994,0.9569,0.97208,0.74419,0.93325,0.49592,1.18408,0.000578121,0.000578121,0.000578121
109,5714.26,1.06135,0.63744,1.13574,0.99087,0.93596,0.9717,0.74977,0.87827,0.48912,1.14982,0.000564832,0.000564832,0.000564832
110,5758.62,1.01024,0.62077,1.09752,0.99091,0.93964,0.97228,0.75544,0.86775,0.48624,1.14407,0.000551544,0.000551544,0.000551544
111,6858.72,1.04989,0.64488,1.12006,0.98196,0.93826,0.97211,0.75833,0.9111,0.47812,1.15673,0.000538255,0.000538255,0.000538255
112,6904.32,1.02561,0.63837,1.09991,0.98208,0.94472,0.97232,0.76091,0.88445,0.48557,1.13534,0.000524966,0.000524966,0.000524966
113,6962.03,1.073,0.6675,1.15212,0.9909,0.93872,0.97352,0.76989,0.84263,0.46758,1.12051,0.000511678,0.000511678,0.000511678
114,7011.25,1.05578,0.6509,1.14297,0.97282,0.94828,0.97334,0.76549,0.85057,0.47604,1.11505,0.000498389,0.000498389,0.000498389
115,7059.33,1.03392,0.65028,1.11953,0.98118,0.9569,0.97314,0.75597,0.84639,0.48003,1.10144,0.000485101,0.000485101,0.000485101
116,7110.39,1.06449,0.65019,1.11446,0.98856,0.94828,0.97078,0.7639,0.80383,0.48845,1.07231,0.000471812,0.000471812,0.000471812
117,7158.46,1.03797,0.64004,1.11548,0.98424,0.94828,0.97103,0.76132,0.80322,0.47997,1.07366,0.000458523,0.000458523,0.000458523
118,7204.39,1.01952,0.62303,1.11617,0.98468,0.94828,0.97254,0.75517,0.84039,0.49097,1.0968,0.000445235,0.000445235,0.000445235
119,7251.27,1.05955,0.66225,1.13356,0.9896,0.94828,0.97452,0.76049,0.84078,0.45227,1.11011,0.000431946,0.000431946,0.000431946
120,7298.78,1.00822,0.62879,1.10156,0.97383,0.96223,0.97456,0.77288,0.82863,0.44417,1.10665,0.000418658,0.000418658,0.000418658
121,7347.03,0.98195,0.59789,1.11787,0.97384,0.96276,0.97431,0.76554,0.89936,0.45913,1.13792,0.000405369,0.000405369,0.000405369
122,7395.89,0.96725,0.60755,1.06636,0.98917,0.93966,0.97378,0.77262,0.81054,0.44956,1.0842,0.000392081,0.000392081,0.000392081
123,7446.18,1.0377,0.63027,1.10465,0.98162,0.94828,0.975,0.77339,0.8148,0.45359,1.07905,0.000378792,0.000378792,0.000378792
124,7493.77,0.97538,0.59102,1.08953,0.9824,0.96218,0.97573,0.77445,0.80872,0.45347,1.07381,0.000365503,0.000365503,0.000365503
125,7541.09,0.98549,0.62587,1.10039,1,0.9563,0.97602,0.78538,0.78988,0.46217,1.05454,0.000352215,0.000352215,0.000352215
126,7586.36,0.99657,0.62458,1.12008,1,0.95637,0.9762,0.78579,0.76646,0.45894,1.05076,0.000338926,0.000338926,0.000338926
